Name,Register Number,Department,Year of Study
Saanvi Gupta,714023104001,CSE,3
Saanvi Gupta,714023104002,CSE,3
Ishaan Singh,714023104003,CSE,3
Anvi Das,714023104004,CSE,3
Aditya Verma,714023104005,CSE,3
Aadhya Desai,714023104006,CSE,3
Saanvi Mehta,714023104007,CSE,3
Myra Nair,714023104008,CSE,3
Saanvi Jain,714023104009,CSE,3
Saanvi Gupta,714023104010,CSE,3
Vihaan Nair,714023104011,CSE,3
Riya Bhat,714023104012,CSE,3
Sai Yadav,714023104013,CSE,3
Reyansh Sharma,714023104014,CSE,3
Saanvi Kapoor,714023104015,CSE,3
Pari Rao,714023104016,CSE,3
Saanvi Bhat,714023104017,CSE,3
Ishaan Singh,714023104018,CSE,3
Aditya Chopra,714023104019,CSE,3
Reyansh Malhotra,714023104020,CSE,3
Arjun Kumar,714023104021,CSE,3
Arjun Desai,714023104022,CSE,3
Aarav Jain,714023104023,CSE,3
Ananya Gupta,714023104024,CSE,3
Riya Sharma,714023104025,CSE,3
Aadhya Mehta,714023104026,CSE,3
Vihaan Saxena,714023104027,CSE,3
Anvi Jain,714023104028,CSE,3
Aarav Jain,714023104029,CSE,3
Ishaan Sharma,714023104030,CSE,3
Diya Bhat,714023104031,CSE,3
Aditya Yadav,714023104032,CSE,3
Vivaan Gupta,714023104033,CSE,3
Krishna Nair,714023104034,CSE,3
Krishna Chopra,714023104035,CSE,3
Ishaan Malhotra,714023104036,CSE,3
Vihaan Kumar,714023104037,CSE,3
Ayaan Rao,714023104038,CSE,3
Aadhya Verma,714023104039,CSE,3
Vivaan Joshi,714023104040,CSE,3
Saanvi Das,714023104041,CSE,3
Saanvi Verma,714023104042,CSE,3
Ananya Bhat,714023104043,CSE,3
Aarav Chopra,714023104044,CSE,3
Saanvi Joshi,714023104045,CSE,3
Sai Das,714023104046,CSE,3
Saanvi Patel,714023104047,CSE,3
Anvi Gupta,714023104048,CSE,3
Ishaan Chopra,714023104049,CSE,3
Diya Rao,714023104050,CSE,3
Ayaan Nair,714023104051,CSE,3
Anvi Desai,714023104052,CSE,3
Anvi Verma,714023104053,CSE,3
Aarav Rao,714023104054,CSE,3
Anvi Yadav,714023104055,CSE,3
Vivaan Mehta,714023104056,CSE,3
Ayaan Chopra,714023104057,CSE,3
Arjun Desai,714023104058,CSE,3
Ayaan Patel,714023104059,CSE,3
Aadhya Yadav,714023104060,CSE,3
Myra Rao,714023104061,CSE,3
Vihaan Kumar,714023104062,CSE,3
Pari Mehta,714023104063,CSE,3
Vivaan Desai,714023104064,CSE,3
Reyansh Mehta,714023104065,CSE,3
Ishaan Gupta,714023104066,CSE,3
Ayaan Kumar,714023104067,CSE,3
Ishaan Reddy,714023104068,CSE,3
Reyansh Chopra,714023104069,CSE,3
Saanvi Singh,714023104070,CSE,3
Diya Kapoor,714023104071,CSE,3
Vivaan Joshi,714023104072,CSE,3
Anvi Das,714023104073,CSE,3
Diya Reddy,714023104074,CSE,3
Ayaan Kumar,714023104075,CSE,3
Sai Bhat,714023104076,CSE,3
Sarah Malhotra,714023104077,CSE,3
Ananya Mehta,714023104078,CSE,3
Diya Kapoor,714023104079,CSE,3
Riya Reddy,714023104080,CSE,3
Sai Rao,714023104081,CSE,3
Ananya Chopra,714023104082,CSE,3
Vivaan Saxena,714023104083,CSE,3
Ayaan Verma,714023104084,CSE,3
Riya Singh,714023104085,CSE,3
Sai Saxena,714023104086,CSE,3
Saanvi Rao,714023104087,CSE,3
Sai Bhat,714023104088,CSE,3
Vihaan Verma,714023104089,CSE,3
Sarah Mehta,714023104090,CSE,3
Aditya Nair,714023104091,CSE,3
Ananya Patel,714023104092,CSE,3
Ayaan Verma,714023104093,CSE,3
Sai Sharma,714023104094,CSE,3
Vivaan Das,714023104095,CSE,3
Arjun Malhotra,714023104096,CSE,3
Sarah Bhat,714023104097,CSE,3
Saanvi Gupta,714023104098,CSE,3
Vihaan Chopra,714023104099,CSE,3
Reyansh Sharma,714023104100,CSE,3
Myra Verma,714023104101,CSE,3
Ayaan Das,714023104102,CSE,3
Myra Kumar,714023104103,CSE,3
Aadhya Joshi,714023104104,CSE,3
Aarav Mehta,714023104105,CSE,3
Krishna Chopra,714023104106,CSE,3
Vivaan Gupta,714023104107,CSE,3
Saanvi Bhat,714023104108,CSE,3
Vihaan Singh,714023106001,ECE,3
Krishna Malhotra,714023106002,ECE,3
