Name,Register Number,Department,Year of Study
Ishaan Kapoor,714025104001,CSE,1
Ishaan Jain,714025104002,CSE,1
Krishna Kapoor,714025104003,CSE,1
Reyansh Singh,714025104004,CSE,1
Sarah Kumar,714025104005,CSE,1
Myra Malhotra,714025104006,CSE,1
Vivaan Singh,714025104007,CSE,1
Vihaan Yadav,714025104008,CSE,1
Krishna Patel,714025104009,CSE,1
Arjun Rao,714025104010,CSE,1
Vivaan Gupta,714025104011,CSE,1
Arjun Kapoor,714025104012,CSE,1
Vihaan Reddy,714025104013,CSE,1
Vivaan Reddy,714025104014,CSE,1
Sai Desai,714025104015,CSE,1
Ananya Bhat,714025104016,CSE,1
Vihaan Nair,714025104017,CSE,1
Diya Saxena,714025104018,CSE,1
Arjun Das,714025104019,CSE,1
Arjun Bhat,714025104020,CSE,1
Ayaan Jain,714025104021,CSE,1
Vivaan Verma,714025104022,CSE,1
Pari Rao,714025104023,CSE,1
Ayaan Sharma,714025104024,CSE,1
Arjun Joshi,714025104025,CSE,1
Krishna Joshi,714025104026,CSE,1
Ananya Yadav,714025104027,CSE,1
Pari Verma,714025104028,CSE,1
Aadhya Das,714025104029,CSE,1
Sarah Jain,714025104030,CSE,1
Saanvi Kapoor,714025104031,CSE,1
Aadhya Desai,714025104032,CSE,1
Saanvi Desai,714025104033,CSE,1
Aarav Joshi,714025104034,CSE,1
Saanvi Patel,714025104035,CSE,1
Ananya Kumar,714025104036,CSE,1
Pari Patel,714025104037,CSE,1
Saanvi Kumar,714025104038,CSE,1
Vihaan Jain,714025104039,CSE,1
Aditya Mehta,714025104040,CSE,1
Anvi Das,714025104041,CSE,1
Saanvi Das,714025104042,CSE,1
Sarah Rao,714025104043,CSE,1
Vivaan Yadav,714025104044,CSE,1
Riya Kumar,714025104045,CSE,1
Sai Nair,714025104046,CSE,1
Ananya Saxena,714025104047,CSE,1
Ishaan Saxena,714025104048,CSE,1
Krishna Rao,714025104049,CSE,1
Saanvi Reddy,714025104050,CSE,1
Ishaan Nair,714025104051,CSE,1
Saanvi Kapoor,714025104052,CSE,1
Arjun Kumar,714025104053,CSE,1
Anvi Rao,714025104054,CSE,1
Vihaan Jain,714025104055,CSE,1
Ishaan Chopra,714025104056,CSE,1
Krishna Joshi,714025104057,CSE,1
Saanvi Bhat,714025104058,CSE,1
Myra Nair,714025104059,CSE,1
Krishna Mehta,714025104060,CSE,1
Pari Desai,714025104061,CSE,1
Ananya Reddy,714025104062,CSE,1
Myra Das,714025104063,CSE,1
Sarah Verma,714025104064,CSE,1
Aarav Bhat,714025104065,CSE,1
Anvi Saxena,714025104066,CSE,1
Ayaan Saxena,714025104067,CSE,1
Sai Kumar,714025104068,CSE,1
Vihaan Joshi,714025104069,CSE,1
Pari Kapoor,714025104070,CSE,1
Anvi Desai,714025104071,CSE,1
Sarah Das,714025104072,CSE,1
Arjun Singh,714025104073,CSE,1
Aditya Yadav,714025104074,CSE,1
Ananya Verma,714025104075,CSE,1
Ishaan Desai,714025104076,CSE,1
Saanvi Das,714025104077,CSE,1
Sai Kapoor,714025104078,CSE,1
Sai Gupta,714025104079,CSE,1
Pari Mehta,714025104080,CSE,1
Ayaan Kapoor,714025104081,CSE,1
Diya Verma,714025104082,CSE,1
Vivaan Rao,714025104083,CSE,1
Aditya Malhotra,714025104084,CSE,1
Sai Patel,714025104085,CSE,1
Aadhya Malhotra,714025104086,CSE,1
Ishaan Sharma,714025104087,CSE,1
Sai Singh,714025104088,CSE,1
Ananya Malhotra,714025104089,CSE,1
Aarav Chopra,714025104090,CSE,1
Ayaan Chopra,714025104091,CSE,1
Aditya Mehta,714025104092,CSE,1
Arjun Kumar,714025104093,CSE,1
Myra Singh,714025104094,CSE,1
Ishaan Kapoor,714025104095,CSE,1
Vivaan Das,714025104096,CSE,1
Ishaan Kumar,714025104097,CSE,1
Arjun Reddy,714025104098,CSE,1
Aditya Singh,714025104099,CSE,1
Sarah Kumar,714025104100,CSE,1
Myra Kapoor,714025104101,CSE,1
Riya Das,714025104102,CSE,1
Krishna Yadav,714025104103,CSE,1
Aadhya Sharma,714025104104,CSE,1
Krishna Verma,714025104105,CSE,1
Aarav Chopra,714025104106,CSE,1
Pari Das,714025104107,CSE,1
Myra Sharma,714025104108,CSE,1
Sai Jain,714025104109,CSE,1
Saanvi Verma,714025104110,CSE,1
Myra Verma,714025104111,CSE,1
Anvi Saxena,714025104112,CSE,1
Anvi Kumar,714025104113,CSE,1
Vihaan Malhotra,714025104114,CSE,1
Saanvi Rao,714025104115,CSE,1
Ishaan Verma,714025104116,CSE,1
Saanvi Sharma,714025104117,CSE,1
Vihaan Chopra,714025104118,CSE,1
Ananya Desai,714025104119,CSE,1
Saanvi Bhat,714025104120,CSE,1
Arjun Kapoor,714025104121,CSE,1
Anvi Malhotra,714025104122,CSE,1
Saanvi Bhat,714025104123,CSE,1
Saanvi Kumar,714025104124,CSE,1
Arjun Yadav,714025104125,CSE,1
Aadhya Joshi,714025104126,CSE,1
Aadhya Reddy,714024104001,CSE,2
Aarav Kumar,714024104002,CSE,2
Anvi Bhat,714024104003,CSE,2
Diya Mehta,714024104004,CSE,2
Vivaan Nair,714024104005,CSE,2
Anvi Kumar,714024104006,CSE,2
Sai Singh,714024104007,CSE,2
Krishna Joshi,714024104008,CSE,2
Ananya Jain,714024104009,CSE,2
Ishaan Saxena,714024104010,CSE,2
Riya Verma,714024104011,CSE,2
Aadhya Patel,714024104012,CSE,2
Riya Patel,714024104013,CSE,2
Reyansh Chopra,714024104014,CSE,2
Krishna Nair,714024104015,CSE,2
Anvi Chopra,714024104016,CSE,2
Diya Desai,714024104017,CSE,2
Vivaan Bhat,714024104018,CSE,2
Anvi Saxena,714024104019,CSE,2
Krishna Mehta,714024104020,CSE,2
Saanvi Verma,714024104021,CSE,2
Ayaan Desai,714024104022,CSE,2
Ayaan Mehta,714024104023,CSE,2
Pari Kapoor,714024104024,CSE,2
Arjun Yadav,714024104025,CSE,2
Reyansh Rao,714024104026,CSE,2
Vihaan Chopra,714024104027,CSE,2
Riya Saxena,714024104028,CSE,2
Reyansh Reddy,714024104029,CSE,2
Ayaan Rao,714024104030,CSE,2
Arjun Bhat,714024104031,CSE,2
Arjun Rao,714024104032,CSE,2
Aditya Chopra,714024104033,CSE,2
Krishna Malhotra,714024104034,CSE,2
Vihaan Joshi,714024104035,CSE,2
Aarav Patel,714024104036,CSE,2
Vivaan Saxena,714024104037,CSE,2
Ishaan Saxena,714024104038,CSE,2
Myra Bhat,714024104039,CSE,2
Sai Kumar,714024104040,CSE,2
Vivaan Sharma,714024104041,CSE,2
Anvi Patel,714024104042,CSE,2
Ananya Mehta,714024104043,CSE,2
Diya Reddy,714024104044,CSE,2
Aarav Rao,714024104045,CSE,2
Saanvi Saxena,714024104046,CSE,2
Ananya Sharma,714024104047,CSE,2
Arjun Kumar,714024104048,CSE,2
Sarah Nair,714024104049,CSE,2
Ayaan Jain,714024104050,CSE,2
Riya Jain,714024104051,CSE,2
Diya Singh,714024104052,CSE,2
Aarav Rao,714024104053,CSE,2
Sarah Sharma,714024104054,CSE,2
Sarah Singh,714024104055,CSE,2
Ayaan Sharma,714024104056,CSE,2
Anvi Yadav,714024104057,CSE,2
Vihaan Das,714024104058,CSE,2
Aadhya Reddy,714024104059,CSE,2
Aarav Bhat,714024104060,CSE,2
Saanvi Malhotra,714024104061,CSE,2
Sai Singh,714024104062,CSE,2
Krishna Joshi,714024104063,CSE,2
Sai Bhat,714024104064,CSE,2
Riya Das,714024104065,CSE,2
Ishaan Kapoor,714024104066,CSE,2
Ananya Malhotra,714024104067,CSE,2
Arjun Rao,714024104068,CSE,2
Saanvi Malhotra,714024104069,CSE,2
Ayaan Reddy,714024104070,CSE,2
Reyansh Sharma,714024104071,CSE,2
Sarah Desai,714024104072,CSE,2
Ishaan Verma,714024104073,CSE,2
Saanvi Yadav,714024104074,CSE,2
Myra Gupta,714024104075,CSE,2
Vivaan Joshi,714024104076,CSE,2
Saanvi Kumar,714024104077,CSE,2
Aarav Desai,714024104078,CSE,2
Diya Saxena,714024104079,CSE,2
Reyansh Kumar,714024104080,CSE,2
Aadhya Patel,714024104081,CSE,2
Saanvi Das,714024104082,CSE,2
Sarah Kapoor,714024104083,CSE,2
Vihaan Desai,714024104084,CSE,2
Diya Kumar,714024104085,CSE,2
Aditya Joshi,714024104086,CSE,2
Ishaan Gupta,714024104087,CSE,2
Aadhya Bhat,714024104088,CSE,2
Aadhya Jain,714024104089,CSE,2
Riya Chopra,714024104090,CSE,2
Ananya Sharma,714024104091,CSE,2
Aditya Chopra,714024104092,CSE,2
Reyansh Verma,714024104093,CSE,2
Anvi Rao,714024104094,CSE,2
Aditya Bhat,714024104095,CSE,2
Krishna Yadav,714024104096,CSE,2
Sai Nair,714024104097,CSE,2
Aadhya Gupta,714024104098,CSE,2
Sai Desai,714024104099,CSE,2
Myra Gupta,714024104100,CSE,2
Vihaan Rao,714024104101,CSE,2
Krishna Rao,714024104102,CSE,2
Myra Saxena,714024104103,CSE,2
Sarah Verma,714024104104,CSE,2
Anvi Mehta,714024104105,CSE,2
Ananya Jain,714024104106,CSE,2
Arjun Saxena,714024104107,CSE,2
Riya Mehta,714024104108,CSE,2
Aadhya Bhat,714024104109,CSE,2
Vivaan Patel,714024104110,CSE,2
Sarah Chopra,714024104111,CSE,2
Ishaan Chopra,714024104112,CSE,2
Sarah Singh,714024104113,CSE,2
Ananya Singh,714024104114,CSE,2
Krishna Yadav,714024104115,CSE,2
Sarah Bhat,714024104116,CSE,2
Diya Das,714024104117,CSE,2
Saanvi Gupta,714023104001,CSE,3
Saanvi Gupta,714023104002,CSE,3
Ishaan Singh,714023104003,CSE,3
Anvi Das,714023104004,CSE,3
Aditya Verma,714023104005,CSE,3
Aadhya Desai,714023104006,CSE,3
Saanvi Mehta,714023104007,CSE,3
Myra Nair,714023104008,CSE,3
Saanvi Jain,714023104009,CSE,3
Saanvi Gupta,714023104010,CSE,3
Vihaan Nair,714023104011,CSE,3
Riya Bhat,714023104012,CSE,3
Sai Yadav,714023104013,CSE,3
Reyansh Sharma,714023104014,CSE,3
Saanvi Kapoor,714023104015,CSE,3
Pari Rao,714023104016,CSE,3
Saanvi Bhat,714023104017,CSE,3
Ishaan Singh,714023104018,CSE,3
Aditya Chopra,714023104019,CSE,3
Reyansh Malhotra,714023104020,CSE,3
Arjun Kumar,714023104021,CSE,3
Arjun Desai,714023104022,CSE,3
Aarav Jain,714023104023,CSE,3
Ananya Gupta,714023104024,CSE,3
Riya Sharma,714023104025,CSE,3
Aadhya Mehta,714023104026,CSE,3
Vihaan Saxena,714023104027,CSE,3
Anvi Jain,714023104028,CSE,3
Aarav Jain,714023104029,CSE,3
Ishaan Sharma,714023104030,CSE,3
Diya Bhat,714023104031,CSE,3
Aditya Yadav,714023104032,CSE,3
Vivaan Gupta,714023104033,CSE,3
Krishna Nair,714023104034,CSE,3
Krishna Chopra,714023104035,CSE,3
Ishaan Malhotra,714023104036,CSE,3
Vihaan Kumar,714023104037,CSE,3
Ayaan Rao,714023104038,CSE,3
Aadhya Verma,714023104039,CSE,3
Vivaan Joshi,714023104040,CSE,3
Saanvi Das,714023104041,CSE,3
Saanvi Verma,714023104042,CSE,3
Ananya Bhat,714023104043,CSE,3
Aarav Chopra,714023104044,CSE,3
Saanvi Joshi,714023104045,CSE,3
Sai Das,714023104046,CSE,3
Saanvi Patel,714023104047,CSE,3
Anvi Gupta,714023104048,CSE,3
Ishaan Chopra,714023104049,CSE,3
Diya Rao,714023104050,CSE,3
Ayaan Nair,714023104051,CSE,3
Anvi Desai,714023104052,CSE,3
Anvi Verma,714023104053,CSE,3
Aarav Rao,714023104054,CSE,3
Anvi Yadav,714023104055,CSE,3
Vivaan Mehta,714023104056,CSE,3
Ayaan Chopra,714023104057,CSE,3
Arjun Desai,714023104058,CSE,3
Ayaan Patel,714023104059,CSE,3
Aadhya Yadav,714023104060,CSE,3
Myra Rao,714023104061,CSE,3
Vihaan Kumar,714023104062,CSE,3
Pari Mehta,714023104063,CSE,3
Vivaan Desai,714023104064,CSE,3
Reyansh Mehta,714023104065,CSE,3
Ishaan Gupta,714023104066,CSE,3
Ayaan Kumar,714023104067,CSE,3
Ishaan Reddy,714023104068,CSE,3
Reyansh Chopra,714023104069,CSE,3
Saanvi Singh,714023104070,CSE,3
Diya Kapoor,714023104071,CSE,3
Vivaan Joshi,714023104072,CSE,3
Anvi Das,714023104073,CSE,3
Diya Reddy,714023104074,CSE,3
Ayaan Kumar,714023104075,CSE,3
Sai Bhat,714023104076,CSE,3
Sarah Malhotra,714023104077,CSE,3
Ananya Mehta,714023104078,CSE,3
Diya Kapoor,714023104079,CSE,3
Riya Reddy,714023104080,CSE,3
Sai Rao,714023104081,CSE,3
Ananya Chopra,714023104082,CSE,3
Vivaan Saxena,714023104083,CSE,3
Ayaan Verma,714023104084,CSE,3
Riya Singh,714023104085,CSE,3
Sai Saxena,714023104086,CSE,3
Saanvi Rao,714023104087,CSE,3
Sai Bhat,714023104088,CSE,3
Vihaan Verma,714023104089,CSE,3
Sarah Mehta,714023104090,CSE,3
Aditya Nair,714023104091,CSE,3
Ananya Patel,714023104092,CSE,3
Ayaan Verma,714023104093,CSE,3
Sai Sharma,714023104094,CSE,3
Vivaan Das,714023104095,CSE,3
Arjun Malhotra,714023104096,CSE,3
Sarah Bhat,714023104097,CSE,3
Saanvi Gupta,714023104098,CSE,3
Vihaan Chopra,714023104099,CSE,3
Reyansh Sharma,714023104100,CSE,3
Myra Verma,714023104101,CSE,3
Ayaan Das,714023104102,CSE,3
Myra Kumar,714023104103,CSE,3
Aadhya Joshi,714023104104,CSE,3
Aarav Mehta,714023104105,CSE,3
Krishna Chopra,714023104106,CSE,3
Vivaan Gupta,714023104107,CSE,3
Saanvi Bhat,714023104108,CSE,3
Pari Bhat,714022104001,CSE,4
Vihaan Verma,714022104002,CSE,4
Riya Yadav,714022104003,CSE,4
Arjun Saxena,714022104004,CSE,4
Myra Malhotra,714022104005,CSE,4
Riya Yadav,714022104006,CSE,4
Saanvi Verma,714022104007,CSE,4
Diya Rao,714022104008,CSE,4
Arjun Das,714022104009,CSE,4
Aadhya Patel,714022104010,CSE,4
Ishaan Das,714022104011,CSE,4
Sarah Malhotra,714022104012,CSE,4
Myra Malhotra,714022104013,CSE,4
Saanvi Bhat,714022104014,CSE,4
Vivaan Singh,714022104015,CSE,4
Saanvi Yadav,714022104016,CSE,4
Vivaan Gupta,714022104017,CSE,4
Saanvi Sharma,714022104018,CSE,4
Sai Kapoor,714022104019,CSE,4
Aarav Nair,714022104020,CSE,4
Sarah Desai,714022104021,CSE,4
Arjun Mehta,714022104022,CSE,4
Vihaan Reddy,714022104023,CSE,4
Saanvi Yadav,714022104024,CSE,4
Saanvi Kapoor,714022104025,CSE,4
Aarav Reddy,714022104026,CSE,4
Vihaan Chopra,714022104027,CSE,4
Anvi Rao,714022104028,CSE,4
Sarah Reddy,714022104029,CSE,4
Vivaan Yadav,714022104030,CSE,4
Pari Yadav,714022104031,CSE,4
Aditya Das,714022104032,CSE,4
Aarav Yadav,714022104033,CSE,4
Aadhya Kapoor,714022104034,CSE,4
Saanvi Joshi,714022104035,CSE,4
Arjun Kumar,714022104036,CSE,4
Riya Yadav,714022104037,CSE,4
Vivaan Kumar,714022104038,CSE,4
Krishna Mehta,714022104039,CSE,4
Ishaan Kapoor,714022104040,CSE,4
Myra Verma,714022104041,CSE,4
Krishna Singh,714022104042,CSE,4
Krishna Verma,714022104043,CSE,4
Saanvi Verma,714022104044,CSE,4
Myra Kapoor,714022104045,CSE,4
Vivaan Joshi,714022104046,CSE,4
Vihaan Mehta,714022104047,CSE,4
Vivaan Patel,714022104048,CSE,4
Ayaan Rao,714022104049,CSE,4
Vihaan Kapoor,714022104050,CSE,4
Aarav Jain,714022104051,CSE,4
Saanvi Mehta,714022104052,CSE,4
Anvi Malhotra,714022104053,CSE,4
Saanvi Bhat,714022104054,CSE,4
Aditya Das,714022104055,CSE,4
Ayaan Jain,714022104056,CSE,4
Pari Jain,714022104057,CSE,4
Aadhya Sharma,714022104058,CSE,4
Ayaan Mehta,714022104059,CSE,4
Arjun Malhotra,714022104060,CSE,4
Sarah Yadav,714022104061,CSE,4
Aarav Bhat,714022104062,CSE,4
Aarav Gupta,714022104063,CSE,4
Diya Verma,714022104064,CSE,4
Riya Das,714022104065,CSE,4
Sai Yadav,714022104066,CSE,4
Ananya Joshi,714022104067,CSE,4
Ananya Nair,714022104068,CSE,4
Riya Joshi,714022104069,CSE,4
Saanvi Saxena,714022104070,CSE,4
Saanvi Mehta,714022104071,CSE,4
Saanvi Gupta,714022104072,CSE,4
Myra Malhotra,714022104073,CSE,4
Krishna Das,714022104074,CSE,4
Saanvi Jain,714022104075,CSE,4
Vihaan Joshi,714022104076,CSE,4
Aadhya Kumar,714022104077,CSE,4
Saanvi Patel,714022104078,CSE,4
Ananya Chopra,714022104079,CSE,4
Sai Desai,714022104080,CSE,4
Ananya Das,714022104081,CSE,4
Saanvi Patel,714022104082,CSE,4
Aadhya Verma,714022104083,CSE,4
Aditya Malhotra,714022104084,CSE,4
Myra Gupta,714022104085,CSE,4
