Name,Register Number,Department,Year of Study
Pari Bhat,714022104001,CSE,4
Vihaan Verma,714022104002,CSE,4
Riya Yadav,714022104003,CSE,4
Arjun Saxena,714022104004,CSE,4
Myra Malhotra,714022104005,CSE,4
Riya Yadav,714022104006,CSE,4
Saanvi Verma,714022104007,CSE,4
Diya Rao,714022104008,CSE,4
Arjun Das,714022104009,CSE,4
Aadhya Patel,714022104010,CSE,4
Ishaan Das,714022104011,CSE,4
Sarah Malhotra,714022104012,CSE,4
Myra Malhotra,714022104013,CSE,4
Saanvi Bhat,714022104014,CSE,4
Vivaan Singh,714022104015,CSE,4
Saanvi Yadav,714022104016,CSE,4
Vivaan Gupta,714022104017,CSE,4
Saanvi Sharma,714022104018,CSE,4
Sai Kapoor,714022104019,CSE,4
Aarav Nair,714022104020,CSE,4
Sarah Desai,714022104021,CSE,4
Arjun Mehta,714022104022,CSE,4
Vihaan Reddy,714022104023,CSE,4
Saanvi Yadav,714022104024,CSE,4
Saanvi Kapoor,714022104025,CSE,4
Aarav Reddy,714022104026,CSE,4
Vihaan Chopra,714022104027,CSE,4
Anvi Rao,714022104028,CSE,4
Sarah Reddy,714022104029,CSE,4
Vivaan Yadav,714022104030,CSE,4
Pari Yadav,714022104031,CSE,4
Aditya Das,714022104032,CSE,4
Aarav Yadav,714022104033,CSE,4
Aadhya Kapoor,714022104034,CSE,4
Saanvi Joshi,714022104035,CSE,4
Arjun Kumar,714022104036,CSE,4
Riya Yadav,714022104037,CSE,4
Vivaan Kumar,714022104038,CSE,4
Krishna Mehta,714022104039,CSE,4
Ishaan Kapoor,714022104040,CSE,4
Myra Verma,714022104041,CSE,4
Krishna Singh,714022104042,CSE,4
Krishna Verma,714022104043,CSE,4
Saanvi Verma,714022104044,CSE,4
Myra Kapoor,714022104045,CSE,4
Vivaan Joshi,714022104046,CSE,4
Vihaan Mehta,714022104047,CSE,4
Vivaan Patel,714022104048,CSE,4
Ayaan Rao,714022104049,CSE,4
Vihaan Kapoor,714022104050,CSE,4
Aarav Jain,714022104051,CSE,4
Saanvi Mehta,714022104052,CSE,4
Anvi Malhotra,714022104053,CSE,4
Saanvi Bhat,714022104054,CSE,4
Aditya Das,714022104055,CSE,4
Ayaan Jain,714022104056,CSE,4
Pari Jain,714022104057,CSE,4
Aadhya Sharma,714022104058,CSE,4
Ayaan Mehta,714022104059,CSE,4
Arjun Malhotra,714022104060,CSE,4
Sarah Yadav,714022104061,CSE,4
Aarav Bhat,714022104062,CSE,4
Aarav Gupta,714022104063,CSE,4
Diya Verma,714022104064,CSE,4
Riya Das,714022104065,CSE,4
Sai Yadav,714022104066,CSE,4
Ananya Joshi,714022104067,CSE,4
Ananya Nair,714022104068,CSE,4
Riya Joshi,714022104069,CSE,4
Saanvi Saxena,714022104070,CSE,4
Saanvi Mehta,714022104071,CSE,4
Saanvi Gupta,714022104072,CSE,4
Myra Malhotra,714022104073,CSE,4
Krishna Das,714022104074,CSE,4
